Наименование;Описание
Люнет напольный, отдельно стоящий для станков мод. 1Н983,1А983,1М983,РТ983, СА983;Применяется совместно со специальными трубообрабатывающими станками мод. 1Н983, 1А983, 1М983, РТ983, СА983, устанавливается отдельно от станка, служит для поддержки заготовок и труб больших длин при обработке на станках, литой чугунный.
Магнит револьверной головки 1П756ДФ3.40.000;Применяется в резцедержателе 4-х позиционной револьверной головки станков специальных с ЧПУ мод. 1П756ДФ3, используется в качестве запасной части.
Манжета револьверной головки 1П756ДФ3.39.000;Манжета предназначена для уплотнения и защиты внутренних механизмов револьверной головки 1П756ДФ3 от попадания стружки и охлаждающей жидкости. Обеспечивает герметичность узла при циклическом вращении головки.
Маслоуказатели (глазки) для токарных;Маслоуказатели предназначены для визуального контроля уровня смазочного масла в картере и коробке передач токарных станков. Обеспечивают оперативный мониторинг смазки и предотвращают работу механизма при недостаточном уровне масла.
Маточная гайка для станков 1М63;Маточная гайка предназначена для преобразования вращательного движения в поступательное при работе ходового винта станка. Обеспечивает точное перемещение суппорта и каретки при нарезании резьбы и выполнении продольных подач на токарных станках.
Маточная гайка для станков 1Н983.60.110 для станков 1Н983;Маточная гайка предназначена для преобразования вращательного движения в поступательное при работе ходового винта станка. Обеспечивает точное перемещение суппорта и каретки при нарезании резьбы и выполнении продольных подач.
Маточная гайка для станков мод. 1М63;Маточная гайка предназначена для передачи движения от ходового винта к фартуку токарно-винторезного станка 1М63. Обеспечивает точное и плавное движение при продольной и поперечной подаче инструмента во время обработки деталей.
Маточная гайка для токарно-винторезных станков;Применяется в фартуках токарно-винторезных станков в качестве запасной части, через которую проходит ходовой винт. Может поставляться как отдельно в виде разрезной бронзовой гайки, состоящей из двух полугаек, так и в комплекте с чугунным корпусом.
Маточная гайка для токарно-винторезных станков мод. 1М65;Маточная гайка предназначена для преобразования вращательного движения в поступательное при работе ходового винта станка. Обеспечивает точное перемещение суппорта при нарезании резьбы и выполнении подач инструмента.
Микропереключатели для Револьверных Головок 1П756ДФ3, 16М30Ф3, 16К30Ф3;Применяется в резцедержателях (в 4-х позиционных и 8-ми позиционных револьверных головках 1П756ДФ3.39.000, 1П756ДФ3.40.000, 16М30Ф3.40.000, 16К30Ф3.40.000), станков специальных с ЧПУ мод. 1П756ДФ3, 16М30Ф3, 16К30Ф3 используется в качестве запасной части. Применяется для переключения режимов револьверных головок.
Муфта обгонная 1М63.06.900 для станков производства Тбилиси z-66;о зубьев z-66. Используется на токарных станках для регулирования числа оборотов ходового вала станка.
Муфта обгонная 1Н65.60.900 (Для станков 165 ДИП500 1М65 1Н65);Муфта обгонная предназначена для передачи вращения в одном направлении и защиты передачи от перегрузок при работе станка. Обеспечивает безопасное отключение при превышении допустимого крутящего момента.
Муфта обгонная 1Н65.60.900СБ;состоит из следующих основных элементов: ведущий (наружный) корпус, ведомый (внутренний) барабан, ролики или шарики с пружинами, обеспечивающие сцепление и расцепление валов, сепаратор роликов/шариков, уплотнения и подшипники для защиты от загрязнений и обеспечения надежной работы. Муфта предназначена для передачи крутящего момента между валами при одном направлении вращения и свободном вращении при другом, обеспечивая стабильную работу станочного оборудования и защиту узлов от перегрузок.
Муфта токарно-винторезного станка мод. 16К20;Муфта применяется в шпиндельной бабке станка токарно-винторезного модели 16К20 в качестве запасной части. Муфта служит для соединения валов и передачи крутящего момента в системе привода шпинделя. Изделие изготавливается из высокопрочной стали и обеспечивает надежную передачу мощности, точное взаимодействие механизмов и стабильную работу системы при выполнении различных токарных операций обработки деталей.
Муфта электромагнитная Э11М 106-2А для станков 1Н983 1А983 1М983;Муфта электромагнитная предназначена для управления включением и отключением шпинделя специальных трубообрабатывающих станков. Обеспечивает электромагнитное управление вращением при различных режимах обработки труб и специальных деталей.
Муфты обгонные для станков 1М63Н;Муфты обгонные предназначены для передачи вращения в одном направлении и защиты механизма от перегрузок. Обеспечивают автоматическое отключение при обратном вращении или превышении допустимого крутящего момента.
Накатные ролики для промышленного оборудования;Накатные ролики предназначены для упрочнения и сглаживания поверхностей деталей методом поверхностного пластического деформирования. Применяются на специальных токарно-накатных станках для обработки железнодорожных осей и деталей высокой ответственности.
Насос плунжерный 1К62.02.076 (в сборе) для токарно-винторезного станка мод. 1К62;Насос плунжерный 1К62.02.076 в сборе предназначен для использования в шпиндельной бабке токарно-винторезного станка модели 1К62. Служит для подачи масла к узлам и механизмам и осуществления работы и взаимодействия механизмов фартука станка. Поставляется в полной сборке и готов к установке на станок. Насос обеспечивает стабильную подачу смазочного материала, надежное функционирование всей гидравлической системы и оптимальный режим обработки при выполнении токарных операций.
Ножи к ножницам по металлу гильотин;Ножи предназначены для резки листового и профильного металла на гильотинных ножницах. Обеспечивают чистый и ровный срез листового материала при работе промышленного оборудования в различных цехах.
Нониусы (лимбы) продольной подачи для станков 1М65, 1Н65, ДИП500, РТ117, РТ817, 165;Нониусы (лимбы) продольной подачи применяются на токарно-винторезных станках моделей 1М65, 1Н65, ДИП500, РТ117, РТ817, 165 и предназначены для точного позиционирования и измерения перемещения суппорта вдоль оси станка. Изделия обеспечивают высокую точность отсчета перемещений инструмента и стабильную работу механизма подачи. Нониусы изготавливаются из высокопрочной стали и обеспечивают надежную работу при длительной эксплуатации станочного оборудования при выполнении токарных операций.
Нониусы лимбы для станков мод. 16Р25П и т.д.;Нониусы (лимбы) предназначены для точного позиционирования и отсчета перемещений фартука и поперечного суппорта токарно-револьверного станка 16Р25П. Обеспечивают высокую точность установки размеров при обработке деталей.
Нониусы лимбы для станков мод. 1М63;Нониусы (лимбы) предназначены для точного позиционирования фартука и суппорта на токарно-винторезном станке 1М63. Обеспечивают высокую точность установки размеров при обработке деталей различных диаметров.
Нониусы лимбы поперечной подачи для станков 1М65;Нониусы (лимбы) поперечной подачи предназначены для перемещения каретки и суппортной части станка в процессе работы оборудования при изготовлении деталей на станке. Применяется в каретке станка и служит для точного позиционирования инструмента.
Пара винт гайка вертикального суппорта для токарно-карусельного станка мод. 1516Ф1;Пара винт гайка вертикального суппорта карусельных станков применяется в суппортах станков модели 1510, 1512, 1512Ф1, 1516, 1516Ф1, 1525, 1532, 1541 и т.д. для вертикального перемещения верхнего суппорта. Пара включает винт и две гайки и предназначена для надежной передачи движения при позиционировании резца относительно обрабатываемой детали. Изделие обеспечивает точное перемещение, стабильность работы и надежность функционирования механизма подачи при обработке крупногабаритных деталей.
Патрон 3-х кулачковый ф.250мм. с комплектом обратных кулачков 3шт. 3-250.35.11.004;Трехкулачковый патрон диаметром 250 мм с полным комплектом обратных кулачков предназначен для крепления и удержания деталей на станках токарного типа. Обеспечивает надежный центральный зажим при обработке деталей различных конфигураций.
Переходная втулка с Морзе6 на Морзе5 (1М63, 1М63Н и т.д.) в заднюю бабку токарных станков;Применяется в токарно-винторезных станках, устанавливается в заднюю бабку для перехода с конус Морзе 6 на Конус Морзе 5, используется совместно с центрами.
Пиноли накатного устройства станка РТ30101 РТ301;Пиноли предназначены для удержания и направления инструмента в накатном устройстве специального токарного станка модели РТ30101 (РТ301). Обеспечивают точное позиционирование при выполнении операции накатки на деталях.
Планетарный редуктор в сборе для револьверных головок УГ9326;Запасные части для Револьверных головок: редуктор в сборе состоит из: Водило, Колесо зубчатое, Колесо зубчатое, Блок зубчатых колес. Применяется в револьверной головке УГ9326 в качестве сменной запасной части, меняется в основном целиком для дальнейшей корректной работы револьверной головки.
Пневмораспределители для промышленного оборудования;Пневмораспределители предназначены для управления потоком сжатого воздуха в пневматических системах промышленного оборудования и станков. Обеспечивают направление и включение-отключение пневматических приводов при обработке деталей.
ПНР (пуско-наладочные работы) специального бандажировочного станка мод. РТ5004 для филиал РЖД г. Владимир;Пуско-наладочные работы (ПНР) специального бандажировочного станка модели РТ5004 предназначены для подготовки оборудования к работе на филиале РЖД г. Владимир. Бандажировочный специальный станок РТ5004 используется для бандажировки якорей стеклолентой и продорожки коллекторов электрических машин. ПНР включают сборку, регулировку, тестирование и калибровку всех систем станка, обеспечивая надежность и точность работы оборудования при выполнении операций бандажирования.
Поддержка винта вала токарно-винторезных станков 1М63;Поддержка винта вала предназначена для опоры и направления ходового винта станка. Обеспечивает правильное положение винта при передаче движения от коробки передач к суппорту, предотвращая его прогиб и обеспечивая точность подач.
Поддоны (лотки) приема масла токарно-винторезных станков мод. 16К20,16К25;Применяется в шпиндельной бабки (коробке скоростей) токарно-винторезных станков мод. 16К20, 16К25, изготавливаются из листового металла, служат для приема масла от осевых валов шпиндельной баки станков.
Подшипник револьверной головки 1П756ДФ3.40.000;Подшипник предназначен для опоры и направления вращающихся элементов револьверной головки станка с числовым программным управлением. Обеспечивает плавное и точное вращение головки при позиционировании инструмента и выполнении операций обработки деталей.
Подшипники для различного промышленного оборудования и станков;Различные подшипники радиальные, шариковые, цилиндрические, ступичные, шарнирные, качения, скольжения, осевые, упорные, радиально-упорные, линейные, сферические область применения: машиностроение, станкостроение, тяжелое машиностроение, и т.д.
Помпы подачи СОЖ для станков и промышленного оборудования;Помпы предназначены для подачи смазочно-охлаждающей жидкости к месту обработки на токарных станках и других промышленных машинах. Обеспечивают эффективное охлаждение инструмента и обрабатываемой детали.
Производство токарно-винторезных станков модели 1М63, 16К40, 1М63Н, 16Р40;На современном этапе развития отечественной промышленности актуальным является вопрос обеспечения предприятий машиносборочного комплекса высокопроизводительным станочным оборудованием. Производство включает изготовление и сборку основных узлов, испытание готовых изделий и поставку комплектующих для обеспечения бесперебойной работы оборудования и надежности функционирования на всех этапах эксплуатации.
Промышленная электроника переключатели ПК и концевики для промышленного оборудования и станков;Переключатели и концевики предназначены для управления электрическими цепями промышленного оборудования и станков. Обеспечивают коммутацию сигналов при достижении определенных положений узлами машины, повышая безопасность и автоматизацию производственных процессов.
Пружины возврата шпинделя 2М112;Пружины предназначены для обеспечения автоматического возврата шпинделя в исходное положение после выполнения операции бурения на сверлильном станке. Обеспечивают упругий возврат и безопасность работы.
Пружины накатного устройства станков РТ30101,РТ301;Применяются в цилиндрах накатного устройства специальных токарно-накатных станков мод. РТ30101, РТ301, устанавливаются парно, на два цилиндра. Производство пружин различной конфигурации (сжатия, растяжения, кручения, тарельчатые и т.д.) для любого типа оборудования, деталей, механизмов. Есть возможность изготовления стопорных колец. Пруток от 0,3 мм до 72 мм., Стали: Б2 ГОСТ 9389-75, 60С2А, 51ХФА ГОСТ14959-79, 12Х18Н10Т ГОСТ 18143-72. Различные покрытия и обработка. Изготавливаем продукцию по ра
Пружины резцедержателей токарно-винторезных станков моделей 1М63, 1М63Н, ДИП300;Основные функции пружины резцедержателя: обеспечение устойчивости и жесткости фиксации резца, компенсация механических нагрузок, возникающих в процессе обработки детали, повышение точности позиционирования инструмента относительно обрабатываемой поверхности. Пружины изготавливаются из высокопрочной стали и обеспечивают надежную работу резцедержателя при длительной эксплуатации и высоких нагрузках на режущий инструмент.
Пружины фрикциона станков 6Т13,6Т12, 6Р12,6Р13,6Р82Ш и т.д.;Применяются в фрикционных валах фрезерных станков и служат для крепления фрикционных дисков. Производство пружин различной конфигурации включает пружины сжатия, растяжения, кручения и тарельчатые пружины для любого типа оборудования, деталей и механизмов. Пруток от 0,3 мм до 72 мм из сталей Б2 ГОСТ 9389-75, 60С2А, 51ХФА ГОСТ 14959-79, 12Х18Н10Т ГОСТ 18143-72 с различными покрытиями и обработкой. Изготавливаем продукцию по размерам и чертежам заказчика.
Револьверная головка 16К30Ф3.40.000 (Для станков 16К30Ф3);Револьверная головка предназначена для автоматического позиционирования и закрепления режущего инструмента на токарном станке с числовым программным управлением. Обеспечивает быструю смену инструмента и выполнение различных операций обработки в автоматическом режиме работы.
Револьверная головка 16М30Ф3.40.000 (Для станков 16М30Ф3);Револьверная головка предназначена для установки и быстрой смены режущего инструмента на специальном токарном станке с числовым программным управлением. Обеспечивает автоматическое позиционирование инструмента и выполнение различных операций механической обработки деталей.
Револьверная головка 1П756ДФ3.39.000 (Для станков 1П756ДФ3);Револьверная головка предназначена для автоматического позиционирования и закрепления режущего инструмента на токарном станке с числовым программным управлением. Обеспечивает выполнение различных операций обработки в автоматическом режиме с быстрой сменой инструмента.
Револьверные головки для станков с ЧПУ;Револьверные головки предназначены для установки и автоматической смены режущего инструмента на токарных станках с числовым программным управлением. Обеспечивают быстрое позиционирование и выполнение различных операций обработки в автоматическом режиме.
Резцедержатель (в сборе) для токарно-винторезных станков мод. 1М63;Резцедержатель в сборе предназначен для надежного закрепления резца или другого режущего инструмента на суппорте станка. Обеспечивает точное позиционирование инструмента относительно обрабатываемой детали и стабильность при выполнении операций обработки.
Резцедержатель корпус для токарно-винторезных станков мод. 1М65;Резцедержатель корпус предназначен для крепления и позиционирования режущего инструмента на токарно-винторезном станке 1М65. Обеспечивает жесткое удержание резца при различных типах обработки, обеспечивая точность и чистоту получаемой поверхности.
Резцовые салазки для станков 1М63,1М63Н,163,ДИП300,1М63БФ101, 16К40 1Н983,1А983,1М983,РТ983;"Применяется в верхнем суппорте токарно-винторезных станков используются непосредственно с резцедержателем и закрепляются клином, имеют два исполнения для крепления резцедержателя по ""шарик"" и ""хирту"" (мышиный зуб). Поставляются как в сборе так и отдельно."
Резцовый блок 16К30Ф302.42.000 (Для Револьверных головок 16К30Ф3.40.000);Резцовый блок предназначен для установки и закрепления режущих инструментов в револьверной головке станка с числовым программным управлением. Обеспечивает быструю смену инструмента и точное его позиционирование при автоматическом выполнении операций обработки деталей.
Рейка 16К20.011.432 L-348мм. токарно-винторезного станка мод. 16К20;Рейка направляющая предназначена для передачи движения от ходового винта к суппорту станка при выполнении продольной подачи. Обеспечивает плавное и точное перемещение инструмента при выполнении операций точения и нарезания резьбы.
Рейка 1К62.11.32 L-291мм. и 1К62.11.33 L-705мм. токарно-винторезного станка мод. 1К62;Рейки направляющие предназначены для передачи движения от ходового винта к суппорту станка при выполнении продольной и поперечной подач. Обеспечивают плавное и точное перемещение инструмента при обработке деталей.
Рейка для станков 1М65;Рейка предназначена для направления и позиционирования подвижных элементов токарно-винторезного станка 1М65. Обеспечивает точное и плавное движение фартука и суппорта при обработке деталей различных диаметров и длин.
Ремкомплект корпус гайки;Ремкомплект предназначен для ремонта и восстановления маточной гайки ходового винта при износе. Включает все необходимые компоненты для замены изношенных деталей и восстановления функциональности узла.
Ремонт и модернизация ШВП (Шарико-винтовая пара, передача) с доведением до точностных параметров нового изделия;Услуга ремонта и модернизации шарико-винтовых пар (ШВП) российского и импортного производства включает перешлифовку спецрезьбы и шеек винта ШВП при сохранении закаленного слоя, изготовление новых шариков, замену подшипников и другие операции. Технология позволяет довести восстановленные ШВП до точностных параметров нового изделия, обеспечивая надежную работу станков и оборудования при длительной эксплуатации.
Ролики в сборе с вилками для люнетов 1М63,1М63Н,1М65, дип300,дип500;Ролики в сборе с вилками для обеспечения надежной работы подвижного узла неподвижных люнетов токарных станков моделей 1М63, 1М65 и ДИП (ДИП300, ДИП500). Изделия изготовлены из высокопрочных материалов и обеспечивают точное позиционирование и стабильную работу люнетных узлов при обработке длинномерных деталей.
Ролики накатные специсполнение для РЖД;Используются на токарно-накатном оборудовании и станках (диаметры роликов ф.110-ф.200мм), для накатки и упрочнения металла, различаются ролик для упрочнения металла и ролик сглаживающий, различные профиля и посадочные размеры, термообработанные и шлифованные. Совместимы со станками 1М63, 1М63Н, 163, ДИП300, 16К40 и другими.
Ролики упрочняющий и сглаживающий для токарно накатных станков РТ30101 и РТ301;Ролики предназначены для выполнения операций накатки и отделки поверхностей деталей на специальных токарно-накатных станках. Обеспечивают упрочнение и сглаживание поверхности при высокой скорости вращения детали.
Роликодержатели ( приспособления) для промышленного оборудования;Применяется в качестве запасной части, приспособления в промышленного оборудовании, служит для крепления ролика.
Ручка в сборе для винта кареточного станков 1Н983, 1М983, 1А983, РТ983, СА983;Ручка в сборе для винта кареточного применяется в каретках станков моделей 1Н983, 1М983, 1А983, РТ983, СА983 совместно с винтом поперечной подачи. Служит для перемещения верхнего суппорта с ползушкой станка в поперечном направлении. Ручка изготавливается из высокопрочного материала и обеспечивает удобное управление, точное позиционирование инструмента и надежную работу механизма подачи при выполнении операций обработки деталей на трубообрабатывающих станках.
Ручка капля М10;Ручка-капля метрическая резьба М10 предназначена для управления органами регулировки и позиционирования на различных станках. Обеспечивает удобное управление с минимальными физическими усилиями оператора.
Ручка переключения фрикциона основной в сборе с кронштейнами станков 1М63,1М63Н,ДИП300,16К40;Предназначена для переключения фрикциона основной в сборе с кронштейнами станков. Изготовлена из прочного материала, устойчивого к механическим повреждениям. Оснащена надежным креплением, обеспечивающим стабильность положения при эксплуатации. В комплект поставки входят все необходимые крепежные элементы и кронштейны для монтажа на станок указанных модификаций.
Рычаг коробки подач станков 1Н983;Рычаг предназначен для управления и включения различных режимов подачи инструмента на специальном трубообрабатывающем станке. Обеспечивает механическое переключение между ступенями коробки передач.
Сборка верхнего суппорта станков 1М63,1М63Н,16К40,Дип300;Сборочные работы выполняются квалифицированными специалистами цеха механосборочных работ под руководством опытных мастеров-наладчиков. На всех этапах соблюдаются нормы точности и надежности соединений узлов и механизмов, предусмотренные конструкторской документацией производителя. Собранная продукция готова к непосредственной установке на станок без дополнительной регулировки и обеспечивает стабильную и надежную работу всего станочного оборудования.
Сборка фартука станка 1М65;Фартук представляет собой подвижную часть корпуса универсального станка модели 1М65, предназначенную для обеспечения перемещения рабочего стола относительно шпинделя вдоль оси Х (горизонтальное перемещение). Он состоит из каретки, направляющих, привода подачи и других механизмов. Сборка выполняется квалифицированными специалистами с соблюдением всех норм точности и надежности соединений узлов и механизмов, предусмотренные конструкторской документацией производителя.
Сверлильный блок для револьверных головок 16М30Ф3;Сверлильный блок предназначен для автоматического позиционирования и закрепления сверла в револьверной головке станка с числовым программным управлением. Обеспечивает выполнение операций сверления при обработке деталей в автоматическом режиме.
Система СОЖ в сборе для станка мод. FSS 400;Система охлаждающей жидкости в полной сборке предназначена для обеспечения подачи смазочно-охлаждающей жидкости на фрезерном станке модели FSS 400. Включает насос, трубопроводы, форсунки и фильтры для эффективного охлаждения и смазки инструмента во время работы.
Скребки на направляющие (защита направляющих);Скребки предназначены для защиты направляющих поверхностей станка от попадания стружки и загрязнений. Обеспечивают чистоту работы механизма и продлевают срок службы направляющих при длительной эксплуатации.
Специальные блоки для револьверных головок 16К30Ф3;Специальные блоки для револьверных головок станка модели 16К30Ф3 предназначены для крепления и позиционирования режущего инструмента. Блоки обеспечивают надежную фиксацию резцов в револьверной головке и обеспечивают точное позиционирование инструмента при выполнении различных токарных операций. Изделия изготавливаются из высокопрочной стали и обеспечивают стабильную работу резцедержателя при длительной эксплуатации и высоких нагрузках на режущий инструмент при обработке деталей.
Специальные блоки для револьверных головок 16М30Ф3;Специальные блоки предназначены для установки режущего инструмента в револьверной головке горизонтально-расточного станка 16М30Ф3. Обеспечивают надежное крепление и точное позиционирование инструмента при обработке различных поверхностей.
Специальный 2-х суппортной токарно-накатной станок мод. РТ30102 ПНР в РЖД;Станок специальный двух-суппортной токарно-накатной модели РТ30102 произведен на базе станка токарно-винторезного с двумя суппортами мод. 1М63Б-3 с гидростанцией, двумя накатными устройствами, технологической оснасткой и гидравлической задней бабкой. Станок предназначен для (одновременной обработки с двух сторон) проточки и последующей накатки подступичных частей оси вагонной колесной пары РУ1, РУ1Ш и осей для вагонеток. Обработка двух подступичных частей вагонной оси производится в центрах за о
Специальный бандажировочный станок мод. РТ5004,РТ5003;Станки используются для накладки бандажей на сердечники якоря после укладки обмоток. Эта операция обеспечивает защиту проводников от механических повреждений и предотвращает возможность выпадения витков из пазов во время эксплуатации подвижного состава. Станок обеспечивает высокую точность намотки бандажа и стабильное качество изделий при бандажировке якорей стеклолентой и продорожке коллекторов электрических машин.
Станки токарно-винторезные мод. ГС526У;Станки токарно-винторезные предназначены для выполнения различных операций механической обработки деталей из металла, включая точение, нарезание резьбы, выполнение проточек и фасок. Используются в машиностроении и других отраслях промышленности.
Станок токарно-винторезный 1М63Н (1М63) РМЦ 2800мм.;Токарно-винторезный станок 1М63Н (1М63) РМЦ 2800мм. предназначен для токарной обработки деталей с высокой точностью и надежностью.
Станок токарно-винторезный 1М63НФ1 с УЦИ;Токарно-винторезный станок 1М63НФ1 с УЦИ предназначен для прецизионной обработки деталей с максимальной точностью. Благодаря жесткости, виброустойчивости и температурной стабильности станок позволяет получать необходимую точность обработки. 2х призменные направляющие станины в сочетании с высокой надежностью других узлов обеспечивает на длительный срок эксплуатировать станок с сохранением первоначальной точности. Частота обратного вращения шпинделя в 1,3 раза выше, чем прямого, что сокращает вре
Сухари для токарного патрона ф. 1000;Сухари для токарного патрона диаметром 1000 мм — это подвижные элементы механизма зажима, предназначенные для центрирования, удержания и надежной фиксации заготовок при обработке на токарных станках. Представляют собой сменные детали, которые под действием конической втулки перемещаются радиально внутрь, создавая равномерное давление на поверхность обрабатываемой детали. Сухари обеспечивают точность позиционирования и безопасность работ при высоких скоростях вращения. Область применения Сухари п
Тарельчатые пружины для револьверных головок УГ9321;Тарельчатые пружины предназначены для обеспечения пружинного усилия в механизме фиксации инструмента револьверной головки УГ9321. Обеспечивают надежный прижим и фиксацию инструмента при обработке деталей.
Токарно-винторезные станки 1М63Н,1М63,ДИП300 по наличию;Токарно-винторезные станки моделей 1М63Н, 1М63 и ДИП300 предназначены для полного циклического производства с сертификацией на заводе. На предприятии налажено производство, включающее последовательное выполнение всех технологических процессов от изготовления основных узлов до испытания готовых изделий. Процесс обеспечивает высокую надежность, точность обработки и универсальность применения станков при выполнении разнообразных токарных операций.
Токарно-винторезные станки модели 16К40 производства завода;"Основные элементы и системы станка включают: станину, изготовленную из прочного чугуна с повышенным уровнем жёсткости, способную выдерживать значительные нагрузки без деформации; привод механизма подачи, выполненный на основе двигателя постоянного тока или частотного преобразователя. Конструкция оборудования обеспечивает высокую точность механической обработки, универсальность применения при выполнении токарных операций и надежность функционирования на всех этапах производства."
Токарно-винторезный станок мод. 1М63Н рмц 3000мм. с устройством цифровой индикации (УЦИ);Токарно-винторезный станок 1М63Н предназначен для выполнения разнообразных видов токарных работ, включая точение конусов и нарезание резьб: метрических, дюймовых, модульных, питчевых. Высокая мощность привода позволяет эффективно обрабатывать заготовки из различных материалов. Станок оснащен устройством цифровой индикации (УЦИ), которое обеспечивает точное позиционирование инструмента и повышает производительность при выполнении сложных операций обработки деталей с высокими требованиями к точнос
Тяжелый токарно-винторезный станок мод. РТ117;Основные характеристики данного типа оборудования включают высокую жесткость конструкции, обеспечивающую точность и стабильность обработки даже при значительных нагрузках. Станки оснащены мощным приводом главного движения, что позволяет эффективно обрабатывать заготовки из различных материалов с высокой производительностью. Тяжелый токарно-винторезный станок модели РТ117 предназначен для обработки крупногабаритных деталей и обеспечивает надежность при длительной эксплуатации.
Тяжёлый токарный станок РТ817 для обработки осей колёсных пар вагонов;Станок характеризуется высокой точностью механической обработки, возможностью обработки деталей значительных габаритов и веса до нескольких тонн. Применяется для наружного точения цилиндрических поверхностей, обработки торцов и пазов. Станок обеспечивает высокую производительность и точность обработки осей колёсных пар вагонов ОАО РЖД, позволяя выполнять сложные операции с требуемой точностью и качеством поверхности.
Фильтр заливной для станков 16К20;Применяется в шпиндельной бабки токарно-винторезных станках мод. 16К20 для фильтрации масла, поставляются в сборе.
Фланец вала первой оси шпиндельная бабка;Фланец предназначен для крепления первого вала шпиндельной бабки станка. Обеспечивает жесткое соединение между компонентами привода и правильное центрирование при вращении на высоких скоростях.
Фланец шкива шпиндельная бабка;Фланец шкива предназначен для крепления и передачи крутящего момента от шкива к шпинделю станка. Обеспечивает жесткое соединение между компонентами привода и правильное центрирование при вращении на высоких скоростях.
Фрикционные диски для электромагнитных муфт ЭТМ 102 1А;Фрикционные диски предназначены для передачи крутящего момента в электромагнитных муфтах. Обеспечивают плавное включение и отключение вращения шпинделя и других механизмов станков при управлении от электромагнитного контроллера.
Ходовые винты с маточной гайкой специальных трубных станков мод. 1Н983;Ходовые винты в комплекте с маточной гайкой предназначены для передачи и преобразования движения в механизме подач специальных трубных станков модели 1Н983. Обеспечивают точное позиционирование инструмента при обработке труб различных диаметров.
Ходовые винты/валы для токарных станков 1М63,1М63Н,16К40,1Н65,1М65,ДИП300, ДИП500;Применяется в токарно-винторезных станках для перемещения фартука и суппортов в продольном направлении. Винты имеют трап резьбу. Поставляются как отдельно так и в комплекте с маточной гайкой имею различную длину и диаметр в зависимости от РМЦ и модели токарно-винторезного станка.
Центр поводкового патрона специального токарно-накатного станка РТ30101 (РТ301);Используются со шпонкой в поводковом патроне специальных токарно-накатных станках мод. РТ30101 (РТ301). Применяются для крепления непосредственно оси для последующей обработки-проточки и накатки.
Центр упорный конус Морзе 5 для токарных станков и промышленного оборудования;"Применяется в токарно-винторезных станках и промышленном оборудовании, центры предназначены для установки деталей типа ""Вал"", имеющих центровые отверстия (типа А), при их обработке на станках токарной группы. Радиальное биение конуса центрового валика не более 0,016мм. Радиальное биение конуса Морзе относительно неподвижного центрового валика не более 0,040мм. Предельная частота вращения центров А-1-4-У - 3400 мин-1, А-1-5-У - 2800 мин-1, А-1-6-У - 2200 мин-1. Максимальная масса обрабатываемой з"
Центр ф. 100мм. для токарно-винторезных станков 165, 1М65, 1Н65, ДИП500;Применяется в токарно-винторезных станках 165, 1М65, 1Н65, ДИП500, устанавливается в шпиндельную бабку (коробку скоростей) непосредственно в шпиндель станка. Применяется для токарной обработки заготовок без использования патрона. Исполнен в виде конуса, что позволяет закреплять его в шпинделе станка.
Чугунные корпуса маточной гайки для станков 1М63;Чугунные корпуса маточной гайки для замены изношенных узлов на токарно-винторезных станках модели 1М63. Обеспечивают надежное крепление и фиксацию ШВП в коробке подач и суппортов станка.
Шарико-винтовые пары (передачи) для станков с ЧПУ;Шарико-винтовые пары предназначены для точного преобразования вращательного движения в линейное в системах позиционирования станков с числовым программным управлением. Обеспечивают высокую точность и скорость перемещения рабочих органов.
Шатун в сборе с вкладышами бронза к прессам К2130С,К2130, К2130Б, К2132, КЕ2132, КГ2132, КВ2132, КД2330;Запасные части к прессам К2130С, К2130, К2130Б производства Барнаульского завода и завода им.Фрунзе (Ташкент) пресса 100тн (усилие). Собственная не серийная конструкция на всех прессах типа УВ или У35. Части к прессам 160тн Ивано-Франковск и ЮУМЗ К2132, КЕ2132, КГ2132, КВ2132 и т.д. Вал приводной 10-ти шлицевой 3-х модификаций. К прессам КД2330 и модификациям Воронежского завода - Сектор маховика КД2330, винты регулировочные.
ШВП (Шарико-винтовая пара, передача) РТ755Ф359.50.000 и РТ755Ф3.63.000 для станков РТ755Ф3 поперечная, продольная;Шарико-винтовые пары (ШВП) модели РТ755Ф359.50.000 и РТ755Ф3.63.000 предназначены для станков РТ755Ф3 и служат для поперечного и продольного перемещения суппорта. Пары российского производства преобразуют вращательное движение вала в прямолинейное поступательное движение узла. Изделия обеспечивают высокую точность позиционирования, надежную работу механизма подачи и стабильность при выполнении операций обработки деталей на станке.
ШВП (Шарико-винтовая пара, передача) станков 2А450, 2Е450;Шарико-винтовая пара (ШВП) применяется в специальных координатных станках с ЧПУ моделей 2А450, 2Е450 для преобразования вращательного движения в прямолинейное и поступательно движущихся узлов. Устанавливается на поперечное перемещение суппорта станка. Кинематическая точность обеспечивает высокую точность позиционирования инструмента. ШВП обеспечивает надежную работу механизма подачи, стабильное перемещение и точность при выполнении операций обработки деталей на специальном оборудовании с ЧПУ.
ШВП (ШАРИКО-ВИНТОВЫЕ ПАРЫ);ШВП (шарико-винтовая передача) предназначена для преобразования вращательного движения в прямолинейное. Применяются в деревообрабатывающих и металлообрабатывающих станках, промышленных роботах, радиотелескопах, в транспортных средствах, нестандартном оборудовании и т.д. Детали ШВП изготавливаются из высококачественной легированной стали. ШВП бывают корпусными и бескорпусными. Кинематическая точность: внутришаговая 4-6мкм, накопленная на длине 1000мм до 20мкм. ШВП прошедшие закалку и шлифовку спо
